82,33
32,87
22,22
52,63
10,61
67,2
34,15
98,89
23,70
77,69
46,67
63,92
34,35
92,51
16,58
14,15
22,21
78,6
8,79
70,37
64,30
90,33
16,69
8,16
65,96
47,66
29,91
57,24
2,1
57,17
19,56
6,89
55,82
35,32
86,63
55,92
98,44
100,78
87,28
85,71
87,6
46,89
39,93
42,75
52,57
28,43
11,82
55,86
50,12
37,24
81,78
12,40
80,91
53,3
27,2
18,89
87,49
87,97
97,53
10,9
9,5
90,95
35,92
86,61
77,40
9,75
70,31
34,56
99,98
53,86
7,36
25,70
62,45
64,56
12,64
21,78
50,80
40,2
85,91
89,50
18,69
81,46
64,76
24,29
0,92
82,72
13,8
61,36
28,56
28,65
98,30
88,89
13,23
2,52
2,73
62,15
1,76
20,93
83,33
84,97
94,45
61,1
22,99
85,42
69,89
56,43
52,19
64,9
32,93
32,39
22,57
56,76
65,87
1,43
47,21
58,3
82,24
72,86
55,93
17,60
53,91
25,77
72,56
38,78
6,83
24,54
64,22
98,29
12,5
84,40
38,39
79,82
1,43
18,30
78,74
69,88
73,23
92,42
78,34
69,42
4,82
46,52
1,31
